Date,Region,Category,Product,Units_Sold,Unit_Price,Total_Sales,Profit_Margin,Sales_Rep
2024-01-05,East,Electronics,Laptop Pro 14,12,1199.99,14399.88,0.22,Sarah Chen
2024-01-07,West,Electronics,Wireless Headphones,45,89.99,4049.55,0.38,James Lee
2024-01-10,Central,Office Supplies,Ergonomic Chair,8,349.99,2799.92,0.31,Maria Lopez
2024-01-12,East,Electronics,Smart Monitor 27",20,429.99,8599.80,0.27,Sarah Chen
2024-01-15,South,Software,Data Analytics Suite,5,599.99,2999.95,0.65,David Kim
2024-01-18,West,Office Supplies,Standing Desk,14,499.99,6999.86,0.28,James Lee
2024-01-22,Central,Electronics,Tablet Pro 11,30,699.99,20999.70,0.33,Maria Lopez
2024-01-25,East,Software,Project Management Tool,18,199.99,3599.82,0.71,Sarah Chen
2024-01-28,South,Office Supplies,Mechanical Keyboard,55,129.99,7149.45,0.42,David Kim
2024-02-02,West,Electronics,Laptop Pro 14,9,1199.99,10799.91,0.22,James Lee
2024-02-05,Central,Software,Data Analytics Suite,7,599.99,4199.93,0.65,Maria Lopez
2024-02-08,East,Electronics,Wireless Headphones,62,89.99,5579.38,0.38,Sarah Chen
2024-02-12,South,Electronics,Smart Monitor 27",15,429.99,6449.85,0.27,David Kim
2024-02-14,West,Office Supplies,Ergonomic Chair,11,349.99,3849.89,0.31,James Lee
2024-02-18,Central,Electronics,Tablet Pro 11,22,699.99,15399.78,0.33,Maria Lopez
2024-02-21,East,Software,Project Management Tool,25,199.99,4999.75,0.71,Sarah Chen
2024-02-25,South,Office Supplies,Standing Desk,9,499.99,4499.91,0.28,David Kim
2024-02-28,West,Electronics,Mechanical Keyboard,40,129.99,5199.60,0.42,James Lee
2024-03-03,Central,Electronics,Laptop Pro 14,15,1199.99,17999.85,0.22,Maria Lopez
2024-03-06,East,Software,Data Analytics Suite,10,599.99,5999.90,0.65,Sarah Chen
2024-03-09,South,Electronics,Wireless Headphones,78,89.99,7019.22,0.38,David Kim
2024-03-12,West,Office Supplies,Ergonomic Chair,18,349.99,6299.82,0.31,James Lee
2024-03-15,Central,Electronics,Smart Monitor 27",28,429.99,12039.72,0.27,Maria Lopez
2024-03-19,East,Software,Project Management Tool,32,199.99,6399.68,0.71,Sarah Chen
2024-03-22,South,Electronics,Tablet Pro 11,41,699.99,28699.59,0.33,David Kim
2024-03-26,West,Office Supplies,Standing Desk,16,499.99,7999.84,0.28,James Lee
2024-03-29,Central,Electronics,Mechanical Keyboard,70,129.99,9099.30,0.42,Maria Lopez
2024-04-02,East,Electronics,Laptop Pro 14,18,1199.99,21599.82,0.22,Sarah Chen
2024-04-05,South,Software,Data Analytics Suite,12,599.99,7199.88,0.65,David Kim
2024-04-08,West,Electronics,Wireless Headphones,55,89.99,4949.45,0.38,James Lee
2024-04-11,Central,Office Supplies,Ergonomic Chair,20,349.99,6999.80,0.31,Maria Lopez
2024-04-14,East,Electronics,Smart Monitor 27",33,429.99,14189.67,0.27,Sarah Chen
2024-04-17,South,Software,Project Management Tool,40,199.99,7999.60,0.71,David Kim
2024-04-21,West,Electronics,Tablet Pro 11,27,699.99,18899.73,0.33,James Lee
2024-04-24,Central,Office Supplies,Standing Desk,22,499.99,10999.78,0.28,Maria Lopez
2024-04-27,East,Electronics,Mechanical Keyboard,88,129.99,11439.12,0.42,Sarah Chen
2024-05-01,South,Electronics,Laptop Pro 14,21,1199.99,25199.79,0.22,David Kim
2024-05-04,West,Software,Data Analytics Suite,15,599.99,8999.85,0.65,James Lee
2024-05-07,Central,Electronics,Wireless Headphones,90,89.99,8099.10,0.38,Maria Lopez
2024-05-10,East,Office Supplies,Ergonomic Chair,25,349.99,8749.75,0.31,Sarah Chen
2024-05-13,South,Electronics,Smart Monitor 27",38,429.99,16339.62,0.27,David Kim
